chindi,cenglish
अगर आप लॉन्ग- टर्म वैल्यू देखें तो ये सब्सक्रिप्शन सच में काफी कॉस्ट- इफेक्टिव है जितने बेनिफिट्स आपको मिल रहे हैं.,"When you look at the long-term value, the subscription is really quite cost-effective for all the benefits you're getting."
मैं आपको हाइली रेकमेंड करता हूँ की हमारे काफी मेंबर्स फिटनेस और नुट्रिशन प्लान्स में अच्छा वैल्यू पाते हैं.,I highly recommend that a lot of our members find great value in the Fitness and Nutrition plans.
दिए गए लिंक्स पर कुछ बेहद अच्छी टेस्टीमोनिअल्स हैं.,There are some wonderful testimonials on the links provided.
कृपया उन्हें देखने के लिए कुछ मिनट निकालें और आप देख सकते हैं कैसे मेंबर्स ने साइट का उसे करके अपने गोल्स अचीव किये हैं.,Please take a few minutes to watch those and you can see firsthand how members just like you have used the site to achieve their goals.
आपको टॉप हेल्थ एक्सपर्ट्स और पर्सनल ट्रेनर्स के साथ लाइव वेबिनारस का एक्सेस भी मिलेगा.,You'll also have access to live webinars with top health experts and personal trainers.
यह एक कम्प्रेहैन्सिव फिटनेस और वैलनेस पैकेज है जो एक हेअल्थीर लाइफस्टाइल को सपोर्ट करता है.,It's a comprehensive Fitness and Wellness package that supports a healthier lifestyle.
और अगर आपको सर्विस पसंद आती है और आप इससे कंटिन्यू करते हैं तो हम फ्यूचर में लॉयल्टी डिस्कोउन्ट्स ऑफर करते हैं.,"Plus, if you enjoy the service and stick with it, we offer loyalty discounts in the future."
मैं बिलकुल समझता हूँ की यह सुर्प्रिसिंग हो सकता है.,I completely understand how that could be surprising.
ऐसा लगता है की लेट पेमेंट फी लगायी गयी थी क्यूंकि आपका पेमेंट पिछले महीने देय डेट के कुछ दिन बाद पोस्ट हुआ था.,It looks like the late payment fee was applied because your payment last month was posted a few days after the due date.
और डाटा वरगे के बारे में लगता है की आपके प्लान में डाटा यूसेज पर एक लिमिट है और आपने अपने ट्रिप के दौरान उस लिमिट को एक्ससीड किया.,"And as for the data overage, it seems like your plan has a certain limit on data usage and you exceeded that limit during your trip."
यह डेफिनिटेली हो सकता है जब हम बहार होते हैं और जीपीएस स्ट्रीमिंग ेट्स. का उसे करते हैं.,"That can definitely happen when we're out and about using GPS, streaming, and so on."
क्या आप चाहेंगे की मैं आपके करंट डाटा प्लान और ओप्तिओंस को देखो ताकि अगर कोई और सूटेबल प्लान हो जो फ्यूचर में इन वरगे चार्जेज को रोक सके?,Would you like me to go over your current data plan and options in case there's a more suitable plan that could prevent these overage charges in the future?
अगर आपको मेरा डिपेंडेंट प्लान से हटाना है ठीक है.,"If you need to remove a dependent from my plan, okay."
अगर आपको अपने प्लान से डिपेंडेंट हटाना है तो आप अपने अकाउंट में लॉगिन करके वेबसाइट पर दिए गए प्रॉम्प्ट्स को फॉलो कर सकते हैं.,"If you need to remove a dependent from your plan, you can do so by logging into your account on our website and following the prompts."
या फिर आप हमारी कस्टमर सर्विस लाइन पर कॉल करके एजेंट से बात कर सकते हैं.,Or by calling our customer service line and speaking with an agent.
आपको उस डिपेंडेंट का नाम और पालिसी नंबर देना होगा जिसे आप हटाना चाहते हैं.,You'll need to provide the name and policy number of the dependent you wish to remove.
कृपया ध्यान दें की डेपेंडेंट्स को सिर्फ एनुअल एनरोलमेंट पीरियड में या क्वालीफाइंग लाइफ इवेंट के दौरान ही प्लान से हटाया जा सकता है जैसे डाइवोर्स होना या डिपेंडेंट का २६ साल का हो जाना.,"Please note that dependents can only be removed from a plan during the annual enrollment period or due to a qualifying life event, such as a divorce or a dependent reaching the age of 26."
मैं आपकी फ़्रस्ट्रेशन समझ सकता हूँ सर.,"I can imagine your frustration, sir."
यह थोड़ा थकने वाला होगा की बार- बार कॉल कर रहे हो और आपको जवाब नहीं मिल रहे हैं.,It must be exhausting to keep calling and not get the answers you need.
चलिए देखते हैं अगर हम आज इससे बदल सकते हैं.,Let's see if we can change that today.
मैं अभी आपके आर्डर को देख कर आपको क्लियर अपडेट दूंगा.,I'll take a look at your order right now and give you a clear update.
कृपया बस थोड़ी देर रुक जाइये.,Please hold on for just a moment.
आपके पेशेंस के लिए धन्यवाद.,Thank you for your patience.
लगता है की आपके एरिया में रीसेंट स्टॉर्म्स के वजह से आपका पैकेज शिपिंग फैसिलिटी में डिले हो गया है.,It looks like the recent storms in your area have delayed your package at the shipping facility.
मैं बिलकुल समझता हूँ की यह वो न्यूज़ नहीं थी जो आप सुन्ना चाहते थे ख़ास करके जब यह आपके पैकेज को इम्पैक्ट कर रही है.,"I completely understand this isn't the news you wanted to hear, especially with how it's impacting your package."
मैं आपको इस असुविधा के लिए माफ़ी चाहता हूँ.,I do apologize for the inconvenience.
हम आपको प्रोसेस शुरू होने से पहले ही उसके लिए एस्टिमेटेड कॉस्ट बता सकते हैं.,Ham aapako prakriya shuroo hone se pahale hee usake lie anumaanit laagat bata sakate hain.
लेकिन आपको अपने केयर प्रोवाइडर के साथ एक्चुअल कॉस्ट की कन्फर्मेशन करनी होगी.,Lekin aapako apane dekhabhaal pradaata ke saath vaastavik laagat kee pushti karanee hogee.
आप हमारी वेबसाइट पर अपने अकाउंट में लॉगिन करके और इंस्ट्रक्शंस फॉलो करके या हमारे कस्टमर सर्विस लाइन पर कॉल करके कॉस्ट एस्टीमेट रिक्वेस्ट कर सकते हैं.,Aap hamaaree vebasait par apane khaate mein log in karake aur sanketon ka paalan karake ya hamaaree graahak seva lain par kol karake laagat anumaan ka anurodh kar sakate hain.
एडवांस में कॉस्ट एस्टीमेट लेना एक अच्छा आईडिया है ताकि आप अपनी फाइनेंसियल रेस्पॉन्सिबिलिटीज़ को बेटर समझ सकें.,Agrim mein laagat anumaan praapt karana ek achchha vichaar hai taaki aapako apanee vitteey jimmedaariyon kee behatar samajh ho sake.
मैं बिलकुल समझता हूँ सर और मैं आपके पेशेंस को सच में सराहता हूँ इस सब के दौरान.,"I totally get it sir, and I truly appreciate your patience throughout all of this."
ऐसे चीज़ों को हैंडल करना कभी आसान नहीं होता ख़ास कर जब लगता है की कोई क्लियर सलूशन नहीं है.,"It's never easy dealing with something like this, especially when it feels like there's no clear solution."
लेकिन मुझे पूरा विश्वास है की रिप्लेसमेंट प्रॉब्लम सोल्वे कर देगा.,But I'm confident the replacement will solve the problem.
और आपको रासुरे करने के लिए मैं आर्डर पर नज़र रखूंगा और फॉलो उप करूँगा ताकि सब कुछ यहाँ से स्मूथली हो. ,"And just to reassure you, I'll keep an eye on the order and follow up to make sure everything goes smoothly from here."
"""मैं आपसे पर्सनली  कॉन्टैक्ट  में रहूँगा ताकि यह सुनिश्चित कर सकूँ कि आपको और कोई समस्या न हो।""",I'll also be in touch personally to check in and make sure you're not left with any further issues.
हम आपके लिए शिपिंग को जल्दी करेंगे.,We'll make sure to expedite the shipping for you.
रिप्लेसमेंट २ से ३ बिज़नेस दिन के अंदर आना चाहिए.,The replacement should arrive within 2 to 3 business days.
और हम आपको ईमेल कन्फर्मेशन भेजेंगे जिसमे ट्रैकिंग इनफार्मेशन होगी जैसे ही वो शिप हो जायेगा.,And we'll send you an email confirmation with the tracking information as soon as it ships out.
मैं पर्सनली फॉलो उप करूँगा ताकि यह रिआसोर कर सकें की नया थर्मोस्टेट सही से काम कर रहा हो जब आप इसे रिसीव करेंगे.,I'll also personally follow up to ensure the new thermostat is working properly once you've received it.
तब तक अगर हम कोई भी मदद कर सकते हैं सिचुएशन को थोड़ा आसान बनाने के लिए जैसे एडिशनल सपोर्ट या सुग्गेस्टियन्स देना तोह मैं मदद करने के लिए तैयार हूँ.,"In the meantime, if there's anything we can do to alleviate the situation, like providing additional support or suggestions, I'd be happy to assist."
बिलकुल मैं ख़ुशी से बताऊंगा.,"Sure, I would be glad to."
टर्म लाइफ इन्शुरन्स एक स्पेसिफिक टाइम पीरियड के लिए कवरेज देता है आम तौर पर १० २० या ३० साल के लिए.,"Term life insurance provides coverage for a specific period of time, usually 10, 20, or 30 years."
यह लाइफ इन्शुरन्स का सबसे सस्ता टाइप है लेकिन इससे कॅश वैल्यू नहीं बनती.,"It is the most affordable type of life insurance, but it does not build cash value."
व्होले लाइफ इन्शुरन्स दूसरी तरफ लिफेलॉन्ग कवरेज देता है और वक़्त के साथ कॅश वैल्यू भी बनता है.,"Whole life insurance, on the other hand, provides lifelong coverage and also builds cash value over time."
जिसे आप उधार ले सकते हैं या निकाल भी सकते हैं.,Which you can borrow against or withdraw.
यूनिवर्सल लाइफ इन्शुरन्स एक फ्लेक्सिबल टाइप की पालिसी है जो टर्म और व्होले लाइफ के फीचर्स को कंबाइन करती है.,Universal life insurance is a flexible type of policy that combines the features of term and whole life.
मैं इस असुविधा के लिए माफ़ी चाहता हूँ जो आपको हुई है मिस्टर फेर्गुसन.,"I apologize for the inconvenience this has caused, Mr. Ferguson."
मैं समझता हूँ की इस गर्मी में ख़ास कर जब घर में बच्चे हो एक काम करता हुआ एयर कंडीशनर होना कितना ज़रूरी है.,"I understand how critical it is to have a functioning air conditioner in this heat, especially with children in the house."
मुझे आपका अकाउंट देखने दीजिये और देखते हैं अगर हम इस प्रोसेस को जल्दी करने के लिए कुछ कर सकते हैं.,Let me review your account and see if there's anything we can do to expedite this.
कृपया थोड़ी देर के लिए रुकिए.,Please hold for a moment.
मुझे यहाँ प्रॉब्लम दिखाई दे रही है; अफ़सोस हमारे रिमोट डायग्नोस्टिक्स से प्रॉब्लम सोल्वे नहीं हो पायी.,"I see the issue here; unfortunately, our remote diagnostics have not resolved the problem."
और अगला स्टेप यह होगा की एक तकनीशियन को भेजा जाये जो यूनिट को ठीक करे,And the next step is to have a technician visit and fix the unit.
मैं बिलकुल समझता हूँ सर.,"I completely understand, sir."
मैं नहीं सोच सकता की अभी आपको कितना असुविधा हो रहा होगा और मैं आपके सभी तकलीफों के लिए सच में माफ़ी चाहता हूँ.,"I can't imagine how uncomfortable it must be right now, and I'm really sorry for all the trouble you've had."
मैं जो कुछ भी कर सकता हूँ वो करूँगा ताकि यह रिप्लेसमेंट जब आएगा तो प्रॉब्लम सोल्वे हो जाये.,I'll do everything I can to make sure this replacement resolves the issue once it arrives.
अगर आपको सेटअप करने में कोई मदद चाहिए तोह बिना झिजक हमसे कांटेक्ट करें मैं ख़ुशी से आपको प्रोसेस समझा दूंगा.,"If you need any help setting it up, please feel free to reach out, and I'll be more than happy to walk you through the process."
मैं डिलीवरी के बाद आपके लिए कॉल बैक सचेडूले कर दूंगा अगर यह आपके लिए ज़्यादा कनविनिएंट हो.,I'll even schedule a call back for you when it's delivered if that's more convenient.
मैं बिलकुल समझता हूँ की यह डिले आपको अपने कस्टमर के साथ मुश्किल में दाल रहा है.,I completely understand how this delay is putting you in a difficult position with your customer.
और मैं सच में माफ़ी चाहता हूँ की इससे आपको इतना स्ट्रेस हुआ है.,And I'm really sorry it's caused you so much stress.
जबकि मैं मौसम नहीं बदल सकता जो मैं कर सकता हूँ वो यह है की मैं रिआसोर करूँगा की आपका पैकेज को ज़रूरी प्रायोरिटी मिले.,"While I can't change the weather, what I can do is make sure your package gets the priority it needs."
अब जब यह दुबारा ट्रांजिट में है मैं कल पर्सनली आपके साथ फॉलो उप करूँगा ताकि यह  रिआसोर हो सके की पैकेज टाइम पर पोहोंच गया हो.,"Now that it's back in transit, I'll also personally follow up with you tomorrow to make sure it's arrived on time."
इसलिए आपको अपडेट्स  के लिए भाग- दौड़ करने की चिंता नहीं करनी पड़ेगी.,So you won't have to worry about chasing down updates.
मैं बिलकुल समझता हूँ.,I completely understand.
मुझे पता है की जब आपको अपने कस्टमर की फ़्रस्ट्रेशन का सामना करना पड़ता है तोह वो काफी चल्लेंजिंग होता है.,I know it must be very challenging when you're the one facing your customer's frustration.
लेकिन अच्छी बात यह है की अब आपके पास उन्हें देने के लिए एक सॉलिड अपडेट है.,"But on the bright side, at least you have a concrete update to share with them now."
और आप उन्हें बता सकते हैं कि यह कल तक पहुँच रहा है।,And you can let them know it's arriving tomorrow.
"साथ ही, मैं यहाँ रहूँगा फॉलो-अप करने के लिए और यह सुनिश्चित करने के लिए कि सब कुछ सही चल रहा है।","Plus, I'll be here to follow up and make sure everything's on track."
"ऐसा लगता है कि आप इस स्थिति को बहुत अच्छे से संभाल रहे हैं, जबकि बहुत सारी चीजें आपके नियंत्रण के बाहर हैं।","It sounds like you've been handling this situation really well, given how much is out of your control."
"जब आप अपील सबमिट करेंगे, तो हमारा क्लेम विभाग आपका केस रिव्यू करेगा।","After you submit the appeal, our claims department will review your case."
और तय करेगा कि चार्जेस आपके प्लान के तहत कवर होते हैं या नहीं।,And determine whether the charges are covered under your plan.
हम आपको डिसिशन लिखित में सूचित करेंगे।,We'll notify you of the decision in writing.
अगर अपील सक्सेसफुल  होतीं  है और चार्जेज कवर्ड होते हैं तोह आपको एक अडजस्टेड मेडिकल इनवॉइस  मिलेगा जिसमे आपका रिफंड अमाउंट  दिखाई देगा.,"If the appeal is successful and the charges are covered, you'll receive an adjusted medical invoice that will show your refund amount."
अगर अपील डिनॉय  हो जाती है तोह आपको एक लेटर मिलेगा जो डिसिशन के रीज़न को एक्सप्लेन करेगा. ,"If the appeal is denied, you'll receive a letter explaining the reasons for the decision."
"मैं आपकी फ़्रस्ट्रेशन को बिलकुल समझता हूँ मिस्टर डेविस, इस सिचुएशन को देखते हुए. ","I completely understand your frustration, Mr. Davis, given the situation."
"हुए और आपके वारंटी कवरेज के आधार पर , मैं रेकमेंड करूँगा की हम आपको एक रिप्लेसमेंट थर्मोस्टेट बिना किसी कॉस्ट के भेजें . ","And based on your warranty coverage, I'd recommend we send you a replacement thermostat at no cost."
हम शिपिंग और सब कुछ हैंडल करेंगे.,We'll take care of the shipping and everything.
"और आपको एक प्रीपेड रिटर्न लेबल मिलेगा ताकि आप करंट यूनिट को वापस भेज सकें , जैसे ही नया यूनिट अराइव  होता है. ",And you'll get a prepaid return label to send the current one back once the new unit arrives.
"मुझे पता है की यह तुरंत आपकी मदद नहीं  करेगा , लेकिन क्या यह आपके लिए एक अच्छा सलूशन लगता है. ","I know this doesn't help you immediately, but does that sound like a good solution for you?"
मैं समझता हूँ मिस्टर दुबे .,"I understand, Mr. dubey."
मैं आपको भेजे गए नोटिफिकेशनस   को देख लेता हूँ.,Let me take a look at the notifications we sent to you.
मुझे यह दिखाई दे रहा है की देय डेट से कुछ दिन पहले आपको एक पेमेंट रिमाइंडर  ईमेल किया गया था.,I see here that a payment reminder was emailed to you a few days before the due date.
लेकिन कभी- कभी यह स्पैम फ़ोल्डर्स में चला जाता है या मिस हो जाता है. ,But sometimes those can end up in Spam folders or get missed.
जो मैं आपके लिए कर सकता हूँ वह यह है की आपके फ्यूचर बिल्स के लिए एक टेक्स्ट अलर्ट  सेट कर  दूं .,What I can do for you is set up a text alert for future bills.
इस तरीके  से आपको डायरेक्ट नोटिफिकेशन आपके फ़ोन पर मिलेगा  साथ ही ईमेल भी . ,That way you'll get a direct notification on your phone as well as an email.
क्या यह madadgar hoga?,Would that be helpful?
क्या यह मददगार होगा? मैं बहुत खुश हूँ की मैं आपको ज़्यादा डिटेल में समझा पाया.,I'm so glad I could explain it in more detail for you.
"और बस यह बात बिल्कुल क्लियर करने के लिए, आपका सब्सक्रिप्शन हर ६ महीने में $४९.९९ के रेट पर रिन्यू होगा।""","And just to make sure everything is crystal clear, your subscription will renew every 6 months at the $49.99 rate."
जब तक आप रिन्यूअल डेट से पहले कैंसिल नहीं करते.,Unless you choose to cancel before the renewal date.
आपको एक ईमेल रिमाइंडर मिलेगा सब्सक्रिप्शन रिन्यू होने से एक हफ्ते पहले.,You'll receive an email reminder about a week before your subscription renews.
इसलिए आप फिर से सरप्राइज नहीं होंगे.,So you won't be caught off guard again.
क्या यह आपके लिए काम करेगा?,Does that sound like it will work for you?
मुझे समझ आता है की यह काफी फ़्रस्ट्रेटिंग हो सकता है जब आपको हर बार कुछ अलग बताया जाता है.,I realize it can be quite frustrating when you've been told different things each time.
और मैं बिलकुल समझता हूँ की यह कैसे लगता है जब आपको अँधेरे में छोड़ा गया हो.,And I completely understand how it feels like you're being left in the dark.
जो मैं आपको बता सकता हूँ वह यह है की तूफ़ान ने काफी बढ़ी देर हो गयी थी.,What I can tell you is that the storms caused some widespread delays.
लेकिन अच्छी खबर यह है की आपका पैकेज अब सही रास्ते पर आ गया है और कल तक पहुंच जाना चाहिए.,But the good news is your package is now back on track and should arrive tomorrow.
मुझे यह दिखाई दे रहा है की यह कुछ घंटे पहले हमारी शिपिंग फैसिलिटी से निकल गया था.,I can see that it left our shipping facility a few hours ago.
हाँ मैं आपको यह समझाता हूँ.,"Sure, let me explain that to you."
आप अपने क्रेडिट कार्ड का इस्तेमाल करके खरीदारी करने पर पॉइंट्स कमा सकते हैं.,You can earn points by using your credit card for purchases.
और जितने पॉइंट्स आप कमाएंगे वह खरीदारी के टाइप और आपके खर्च पर देपेंद करेंगे.,And the number of points you earn will depend on the type of purchase and the amount you spend.
आप अपने पॉइंट्स को कई तरह के रिवार्ड्स के लिए रिडीम कर सकते हैं जैसे कैशबैक स्टेटमेंट क्रेडिट्स या ट्रेवल रिवार्ड्स.,"You can redeem your points for a variety of rewards such as cashback, statement credits, or travel rewards."
आप हमारी वेबसाइट पर रिवार्ड्स और उनके पॉइंट   की पूरी लिस्ट देख सकते हैं.,You can view a full list of rewards and their point values on our website.
जब हमें ज़रूरी डॉक्यूमेंटेशन मिल जाता है तोह आम तौर पर नए डिपेंडेंट को प्लान में ऐड करने में ५ से ७ काम के दिन लगते हैं.,"Once we receive the necessary documentation, it typically takes about five to seven business days for the new dependent to be added to the plan."
इस दौरान आप अपने नए डिपेंडेंट को अपने इन्शुरन्स कार्ड में ऐड कर सकते हैं हमारी कस्टमर सर्विस लाइन पर कॉल करके और टेम्पररी ईद नंबर मांग कर.,"In the meantime, you can add your new dependent to your insurance card by calling our customer service line and requesting a temporary ID number."
इस टेम्पररी ईद को मेडिकल केयर लेने के लिए इस्तेमाल किया जा सकता है जब तक परमानेंट ईद कार्ड इशू नहीं हो जाता.,This can be used to obtain medical care until the permanent ID card is issued.
मैं बिलकुल समझ सकता हूँ आपकी झिझक.,I completely understand your hesitation.
आपके लिए चीज़ें और फ्लेक्सिबल बनाने के लिए मैंएनसोर  करूँगा की आप अगले ३ महीने में कभी भी कैंसिल कर सकें बिना किसी एडिशनल चार्जेज के.,"To make things even more flexible for you, I'll ensure that you can cancel at any time during the next 3 months without any additional charges."
इस तरह आप डिस्काउंट रेट का फायदा उठा सकते हैं और अपने फेवरेट शोज और मूवीज देख सकते हैं.,"This way, you can enjoy the discounted rate, still get to watch all of your favorite shows and movies."
और अगर आपको अब भी मुश्किल लगता है तोह आप जब चाहें कैंसिल कर सकते हैं.,"And if you still find it challenging, you're free to cancel whenever you need to."
मैं बिलकुल समझ सकता हूँ आप जो फील कर रहे हैं.,I completely understand how you feel.
यह डिटेल्स इग्नोर करना आसान हो सकता है.,It can be easy to overlook those details.
बस क्लियर करने के लिए सिगनुप प्रोसेस के दौरान हमने यह बताया था की ६ महीने के फ्री ट्रायल के बाद सर्विस ऑटोमेटिकली $४९. ९९ में रेनू हो जाएगी अगले ६ महीने के लिए.,"Just to clarify, during the signup process, we did outline that after the six-month free trial, the service would automatically renew at $49.99 for another 6-month period."
मुझे पता है की कभी- कभी फाइन प्रिंट समझना मुश्किल होता है ख़ास कर जब आप कुछ नया तरय करने के लिए एक्ससिटेड होते हैं.,"I know sometimes the fine print can be hard to catch, especially when you're eager to try out something new."
पालिसी लोन के लिए अप्लाई करने के लिए आपको हमें कुछ बेसिक इनफार्मेशन देनी होगी जैसे की आपका पालिसी नंबर और कितना पैसा आप उधार लेना चाहते हैं.,"To apply for a policy loan, you need to provide us with some basic information such as your policy number and the amount you would like to borrow."
फिर हम आपकी रिक्वेस्ट को रिव्यु करेंगे और अगर अप्प्रोवे हो गयी तोह हम आपको लोन एग्रीमेंट भेजेंगे सिग्न करने के लिए.,"We will then review your request, and if approved, we will send you the loan agreement to sign."
जब लोन अप्प्रोवे हो जायेगा पैसा आपको लोन एग्रीमेंट में दिए गए तरीके से दिया जायेगा.,"Once the loan is approved, the funds will be dispersed to you in the manner specified in the loan agreement."
यह काफी फ़्रस्ट्रेटिंग लग रहा है.,That sounds very frustrating.
मैं आपके पिछले कॉल के नोट्स चेक करूँगा  ताकि देख सकूं की कौनसे ट्रबलशूटिंग स्टेप्स पहले लिए गए हैं.,I'm going to check the notes from your previous call to see what troubleshooting steps have already been taken.
कृपया कुछ मिनट के लिए होल्ड पर रहिये.,Please hold for a few minutes.
ऐसा लगता है की आप आलरेडी बेसिक ट्रबलशूटिंग स्टेप्स से गुज़र चुके हैं.,It looks like you've already gone through the basic troubleshooting steps.
अफ़सोस की बात है लगता है की यह इशू ऐसा हो सकता है जिसमे तकनीशियन को आके देखना पड़ेगा.,"Unfortunately, it seems like this might be an issue that requires a technician to come out."
बिलकुल मो'नीके आपके प्लान में मेन्टल हेल्थ सर्विसेज जैसे थेरेपी और काउन्सलिंग के लिए कवरेज शामिल है.,"Absolutely Mo'Nique, your plan includes coverage for mental health services including therapy and counseling."
प्रोवाइडर और सर्विस के टाइप के हिसाब से हो सकता है आपको सीओ- पेमेंट या सीओ- इन्शुरन्स देना पड़े.,"Depending on the specifics of the provider and type of service, you may have a co-payment or co-insurance."
मैं आपके स्पेसिफिक बेनिफिट्स चेक कर सकता हूँ अगर आप मुझे कोई भी मेन्टल हेल्थ प्रोफेशनल्स के नाम बता दें जिनके बारे में आप सोच रहे हैं.,I can check your specific benefits if you provide me with the names of any mental health professionals you're considering.
